frame,ID,X,Y,Class,Color,Position
6,1,663,192,Player,blue,Attack
6,2,655,326,Player,blue,Attack
6,3,477,188,Player,blue,Attack
6,4,628,148,Player,blue,Attack
6,5,426,243,Player,blue,Attack
6,6,474,391,Player,blue,Attack
6,7,583,137,Player,blue,Attack
6,8,581,136,Player,blue,Attack
6,9,511,130,Player,blue,Attack
6,10,550,224,Player,skyblue,Defense
6,11,473,126,Player,skyblue,Defense
6,12,541,290,Player,yellow,Not a player
6,14,654,368,Player,blue,Attack
6,19,578,114,Player,blue,Attack
6,0,520,130,Ball,white,Ball
12,1,697,171,Player,skyblue,Defense
12,2,686,304,Player,blue,Attack
12,3,488,207,Player,blue,Attack
12,4,666,118,Player,blue,Attack
12,6,500,394,Player,blue,Attack
12,7,609,142,Player,skyblue,Defense
12,9,518,121,Player,skyblue,Defense
12,10,575,203,Player,skyblue,Defense
12,11,499,138,Player,skyblue,Defense
12,12,572,286,Player,yellow,Not a player
12,14,680,354,Player,skyblue,Defense
12,19,605,122,Player,skyblue,Defense
12,0,615,155,Ball,white,Ball
18,1,710,165,Player,skyblue,Defense
18,2,705,294,Player,blue,Attack
18,3,499,211,Player,blue,Attack
18,4,681,117,Player,skyblue,Defense
18,6,517,392,Player,blue,Attack
18,7,621,147,Player,skyblue,Defense
18,9,521,128,Player,skyblue,Defense
18,10,588,203,Player,skyblue,Defense
18,11,516,145,Player,skyblue,Defense
18,12,590,282,Player,skyblue,Defense
18,14,697,346,Player,skyblue,Defense
18,19,617,113,Player,skyblue,Defense
18,0,660,201,Ball,white,Ball
24,1,710,172,Player,skyblue,Defense
24,2,715,289,Player,blue,Attack
24,4,684,127,Player,blue,Attack
24,6,532,391,Player,blue,Attack
24,7,627,162,Player,skyblue,Defense
24,10,597,211,Player,skyblue,Defense
24,11,526,146,Player,blue,Attack
24,12,604,276,Player,yellow,Not a player
24,14,709,328,Player,skyblue,Defense
24,19,620,128,Player,skyblue,Defense
24,0,687,236,Ball,white,Ball
30,1,743,176,Player,blue,Attack
30,2,746,284,Player,blue,Attack
30,4,720,130,Player,skyblue,Defense
30,6,547,395,Player,blue,Attack
30,7,654,169,Player,skyblue,Defense
30,10,619,218,Player,skyblue,Defense
30,12,626,280,Player,yellow,Not a player
30,14,733,323,Player,skyblue,Defense
30,19,647,136,Player,skyblue,Defense
30,0,732,249,Ball,white,Ball
36,1,768,178,Player,skyblue,Defense
36,2,773,299,Player,blue,Attack
36,4,747,125,Player,skyblue,Defense
36,7,675,169,Player,skyblue,Defense
36,10,635,227,Player,skyblue,Defense
36,12,651,282,Player,yellow,Not a player
36,14,758,337,Player,skyblue,Defense
36,19,663,124,Player,skyblue,Defense
36,0,771,276,Ball,white,Ball
36,40,752,339,Player,skyblue,Defense
42,1,796,210,Player,skyblue,Defense
42,2,822,307,Player,blue,Attack
42,4,783,168,Player,blue,Attack
42,7,714,207,Player,skyblue,Defense
42,12,697,291,Player,skyblue,Defense
42,19,692,162,Player,skyblue,Defense
42,40,802,310,Player,skyblue,Defense
42,52,911,315,Player,red,Defense
42,55,663,544,Player,skyblue,Defense
42,0,834,300,Ball,white,Ball
48,1,802,218,Player,skyblue,Defense
48,2,845,314,Player,blue,Attack
48,4,796,171,Player,blue,Attack
48,7,719,202,Player,skyblue,Defense
48,12,706,280,Player,yellow,Not a player
48,40,819,314,Player,skyblue,Defense
48,58,887,316,Player,red,Defense
54,1,813,227,Player,skyblue,Defense
54,2,868,308,Player,blue,Attack
54,4,815,183,Player,blue,Attack
54,14,871,314,Player,red,Defense
54,40,834,306,Player,skyblue,Defense
54,52,867,312,Player,red,Defense
54,58,862,310,Player,blue,Attack
60,1,824,236,Player,skyblue,Defense
60,2,887,288,Player,blue,Attack
60,4,831,193,Player,blue,Attack
60,40,841,306,Player,skyblue,Defense
60,0,905,271,Ball,white,Ball
66,1,834,238,Player,blue,Attack
66,2,902,291,Player,blue,Attack
66,4,847,210,Player,blue,Attack
66,40,846,304,Player,skyblue,Defense
66,89,840,246,Player,blue,Attack
66,0,767,266,Ball,white,Ball
72,2,919,287,Player,blue,Attack
72,14,866,241,Player,blue,Attack
72,40,849,304,Player,skyblue,Defense
72,89,864,250,Player,blue,Attack
72,93,857,307,Player,blue,Attack
72,98,788,277,Player,yellow,Not a player
72,100,886,191,Player,blue,Attack
72,101,734,524,Player,blue,Attack
78,2,937,270,Player,blue,Attack
78,40,854,304,Player,skyblue,Defense
78,89,909,261,Player,skyblue,Defense
78,93,874,302,Player,red,Defense
78,98,830,278,Player,yellow,Not a player
78,100,912,233,Player,blue,Attack
78,101,766,507,Player,blue,Attack
78,105,835,234,Player,skyblue,Defense
78,0,956,266,Ball,white,Ball
84,2,947,257,Player,blue,Attack
84,4,884,298,Player,red,Defense
84,40,857,296,Player,skyblue,Defense
84,89,929,262,Player,skyblue,Defense
84,93,888,290,Player,red,Defense
84,98,854,270,Player,yellow,Not a player
84,100,920,250,Player,blue,Attack
84,101,787,482,Player,yellow,Not a player
84,105,853,249,Player,red,Defense
84,0,1000,284,Ball,white,Ball
90,2,953,245,Player,blue,Attack
90,4,887,300,Player,red,Defense
90,89,949,268,Player,blue,Attack
90,98,861,297,Player,skyblue,Defense
90,100,929,262,Player,blue,Attack
90,105,872,274,Player,yellow,Not a player
90,0,1033,312,Ball,white,Ball
96,2,968,193,Player,blue,Attack
96,89,988,264,Player,skyblue,Defense
96,100,954,235,Player,blue,Attack
96,105,908,252,Player,yellow,Not a player
